games_played,player_efficiency_rating,offensive_plus_minus,value_over_replace_player,three_pointer_made_per_game,three_pointer_attempts_per_game,two_pointer_made_per_game,two_pointer_attempts_per_game,free_throw_made_per_game,free_throw_attempts_per_game,defensive_rebound_per_game,assists_per_game,steals_per_game,turnovers_per_game,points_per_game,position_PF,position_PG,position_SF,position_SG,conference_WEST,starter,win_shares
74,15.0,-0.1,-1.1957061103059148,-0.8209196610201621,-0.8307877025253705,2.599754893581365,2.7221879969184806,2.3558766637603705,2.7908011939954402,3.9,1.0,0.5,2.4,19.4,1,0,0,0,0,1,2.5
81,20.9,2.7,2.279502678825002,-0.36815377686492845,-0.2593732866731249,3.8494306805518392,3.645722007393263,4.122343838055179,3.649497072373144,5.6,2.3,1.1,2.7,27.2,1,0,0,0,1,1,11.2
54,11.9,-1.6,-1.1129630438980358,0.5373779914455391,0.5977483371052434,1.893416405293705,2.450560346778839,0.8966211719516171,0.9507385974717896,2.4,2.4,0.9,1.9,17.5,0,0,0,1,0,1,-0.7
41,13.5,-1.5,-0.3682754462271251,-0.6699976996350843,-0.773646260940146,-0.2799327894375551,-0.37436721467343775,-0.02501387550654354,0.030707299209963946,1.1,0.7,0.6,1.0,6.0,0,0,1,0,1,0,1.1
14,11.9,-3.3,-0.533761579042883,-0.8209196610201621,-0.8307877025253705,-0.8232700881203702,-0.700320394841008,-0.10181679612805698,-0.21463438032652296,0.6,0.3,0.2,0.4,3.5,0,0,1,0,0,0,0.1
22,12.2,-3.2,-0.616504645450762,-0.8209196610201621,-0.8879291441105951,-0.2799327894375551,-0.292878919631545,-0.02501387550654354,-0.09196354055827957,2.5,0.5,0.3,1.2,5.7,1,0,0,0,0,0,0.5
73,15.9,0.2,0.2936690850359067,-0.8209196610201621,-0.8307877025253705,-0.38860024917411823,-0.40152997968740184,-0.33222555799259695,-0.4599760598630097,1.7,2.0,0.6,0.5,4.9,0,1,0,0,0,1,2.7
82,12.8,-2.2,0.2936690850359067,-0.8209196610201621,-0.773646260940146,0.15473704950869688,0.35902744070359555,0.43580364822253675,0.33738439863057246,2.1,4.7,2.1,1.7,7.9,0,1,0,0,0,1,3.7
80,9.6,-1.7,0.04543988581226978,0.08461210729030527,0.2548996875938961,-0.4429339790423997,-0.3472044496594734,-0.4090284786141104,-0.5213114797471315,2.1,2.7,0.8,1.1,6.4,0,0,0,1,1,1,2.7
79,10.6,-3.0,-0.20278931341136713,-0.8209196610201621,-0.8879291441105951,-0.4972677089106812,-0.4558555097153303,-0.9466489229647039,-0.9506594189359834,2.8,0.6,0.2,0.5,3.8,0,0,0,0,1,1,2.7
23,10.0,-5.3,-0.616504645450762,-0.8209196610201621,-0.773646260940146,-0.7146026283838072,-0.7546459248689363,-0.7930430817216773,-0.8893239990518617,0.3,0.4,0.0,0.8,3.2,0,0,0,1,0,0,-0.2
82,15.9,-0.1,1.3693289483383335,-0.8209196610201621,-0.8307877025253705,2.0564175948985497,2.07028163658334,0.3590007276010233,0.27604897874645073,4.7,2.6,2.1,1.7,14.7,0,0,1,0,1,1,6.8
37,10.5,-4.0,-0.6992477118586409,-0.8209196610201621,-0.8879291441105951,-0.2799327894375551,-0.3200416846455093,-0.7162401611001639,-0.6439823195153749,1.8,0.4,0.3,0.9,4.7,0,0,0,0,0,0,0.1
81,19.6,1.8,1.7830442803777282,-0.5190757382500063,-0.48793905301402324,3.360427111737306,3.4555826522955138,2.0486649812743174,2.0547761553859805,5.6,2.7,1.4,2.5,22.4,1,0,0,0,1,1,8.7
67,15.9,0.5,0.7073844170753015,0.3864560300604612,0.3691825707643453,1.893416405293705,1.9344678115135188,-0.10181679612805698,-0.2759698002106446,2.0,2.4,1.5,1.5,16.0,0,0,0,1,0,1,1.8
30,10.0,-3.6,-0.78199077826652,-0.8209196610201621,-0.773646260940146,0.31773823911354154,0.6306550908432375,0.12859196573648315,0.0920427190940857,1.1,1.1,0.4,1.1,8.2,0,0,0,1,1,0,0.1
41,16.0,-0.6,-0.12004624700348814,-0.8209196610201621,-0.8879291441105951,1.8390826754254237,1.8801422814855906,2.586285425624911,3.036142873531927,7.2,3.2,0.7,2.7,16.8,0,0,0,0,0,0,3.1
73,13.7,-0.4,0.04543988581226978,-0.06630985409477261,-0.08794896191745134,-0.3342665193058367,-0.5101810397432586,-0.33222555799259695,-0.3986406399788881,1.1,3.3,0.6,1.2,6.4,0,1,0,0,1,1,2.9
53,6.7,-5.1,-0.9474769110822778,-0.6699976996350843,-0.6022219361844723,-0.8776038179886517,-0.8089714548968647,-1.1002547642077307,-1.1346656785883487,1.1,0.3,0.2,0.4,2.5,0,0,1,0,0,1,-0.2
63,9.0,-5.1,-1.1129630438980358,-0.8209196610201621,-0.8879291441105951,-0.38860024917411823,-0.37436721467343775,-0.48583139923562374,-0.3986406399788881,2.2,0.4,0.4,1.1,4.7,1,0,0,0,0,1,0.5
69,18.3,1.4,0.45915521785166474,-0.6699976996350843,-0.48793905301402324,2.43675370397652,2.3962348167509107,1.1270299338161571,0.7667323378194243,1.9,2.2,0.9,1.5,17.5,0,0,0,1,1,1,3.6
81,16.0,1.3,1.2038428155225753,-0.36815377686492845,-0.43079761142879863,1.5674140260840161,1.4727008062761278,0.8198182513301037,0.5827260781670592,2.5,7.4,1.5,2.6,14.3,0,1,0,0,0,1,6.4
76,12.6,-1.8,-0.533761579042883,-0.6699976996350843,-0.6593633777696968,0.6437406183232304,0.684980620871166,0.2053948863579966,-0.030628120674157815,2.1,3.3,0.8,1.5,9.7,0,0,0,1,1,1,2.2
33,10.9,-2.3,-0.45101851263500403,-0.8209196610201621,-0.7165048193549214,-0.7146026283838072,-0.6731576298270437,-0.5626343198571371,-0.7053177393994966,0.8,2.3,0.6,1.1,3.5,0,1,0,0,1,0,0.3
